Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.392857612584175,0.3220486111111111,0.27991832386363635,0.5766059027777778
2,00:00:00.067,6.603229561237374,6.839103929924242,5.14087160669192,7.829713147095959
3,00:00:00.100,6.58713765256734,7.304855192550505,5.004655934343434,7.45190183080808
4,00:00:00.133,5.874973695286196,5.927694917929293,4.864188762626263,6.83303740530303
5,00:00:00.167,6.2747987689393945,6.246715198863637,5.179214015151516,7.39846709280303
6,00:00:00.200,5.47150870686027,5.453470249368687,4.471847380050505,6.489208491161616
7,00:00:00.234,5.492131602483165,5.350013809974747,4.677862610479798,6.44851838699495
8,00:00:00.267,6.106494633838383,6.215050899621212,4.953884548611111,7.150548453282828
9,00:00:00.300,6.103528777356902,5.996251578282828,4.94848879419192,7.365845959595959
10,00:00:00.334,7.1900811500420865,8.043965041035353,5.398693970959596,8.127584438131313
11,00:00:00.367,5.198176425715488,5.2019511521464645,4.219578598484849,6.172999526515151
12,00:00:00.400,12.93681278935185,18.584092881944443,7.393298216540404,12.833047269570708
13,00:00:00.434,4.911639178240741,4.676096906565657,3.987689393939394,6.071131234217172
14,00:00:00.467,5.5169533880471375,5.385594223484849,4.490747316919192,6.674518623737374
15,00:00:00.501,4.914365004208754,4.977331912878788,3.987038352272727,5.778724747474747
16,00:00:00.534,6.856326941287879,7.927122790404041,4.967378866792929,7.674479166666667
17,00:00:00.567,5.042531434132997,5.194020280934343,3.9700520833333335,5.963521938131313
18,00:00:00.601,5.288802740951179,6.053671480429293,3.9182942708333335,5.894442471590909
19,00:00:00.634,5.4240418507996635,5.629537563131313,4.295513731060606,6.347074258207071
20,00:00:00.667,7.064469565446128,8.488439078282829,4.808445785984849,7.896523832070707
21,00:00:00.701,5.979982112794613,6.895349984217172,4.355143229166667,6.689453125
22,00:00:00.734,5.408581255260942,5.748283617424242,4.320351957070707,6.157108191287879
23,00:00:00.767,4.509900436658249,4.515477035984849,3.70767242739899,5.306551846590909
24,00:00:00.801,12.956801083754208,18.28763218118687,7.461894333964646,13.12087673611111
25,00:00:00.834,4.666558159722222,4.102696890782828,3.9065360637626263,5.990441524621212
26,00:00:00.868,4.443188394360269,4.105241871843434,3.817599826388889,5.406723484848484
27,00:00:00.901,4.806456492003367,4.477440419823233,4.058781171085859,5.88314788510101
28,00:00:00.934,6.226250131523568,6.454515861742424,4.791380602904041,7.432853929924242
29,00:00:00.968,5.503311105850169,5.21807922979798,4.564837831439394,6.7270162563131315
30,00:00:01.001,4.744949494949495,4.54983428030303,4.0107421875,5.674272017045454
31,00:00:01.034,5.6412332965067336,5.722833806818182,4.688989504419192,6.511876578282828
32,00:00:01.068,5.798413825757575,5.8602923768939394,4.777876420454546,6.757072679924242
33,00:00:01.101,7.0697896938131315,7.9618548768939394,5.355784406565657,7.891729797979798
34,00:00:01.134,5.3305844907407405,5.417505129419192,4.475329466540404,6.098918876262626
35,00:00:01.168,5.9379866372053876,6.038470643939394,4.97192629419192,6.803562973484849
36,00:00:01.201,13.80288233901515,19.840583570075758,7.98565735479798,13.582406092171718
37,00:00:01.235,5.283377393728956,5.37865964330808,4.303503787878788,6.16796875
38,00:00:01.268,6.005070233585859,6.376637468434343,4.861860795454546,6.776712436868687
39,00:00:01.301,5.351858428030304,5.537967566287879,4.267203282828283,6.250404434974747
40,00:00:01.335,6.827296401515151,7.745008680555555,5.144452335858586,7.592428188131313
41,00:00:01.368,5.788401594065657,6.199721827651516,4.574968434343434,6.59051452020202
42,00:00:01.401,4.9055562131734005,4.894353693181818,4.0271464646464645,5.79516848169192
43,00:00:01.435,4.3863176031144775,4.350941051136363,3.7106218434343434,5.0973899147727275
44,00:00:01.468,6.287822890361954,6.972567471590909,4.775094696969697,7.115806502525253
45,00:00:01.502,4.528336752946128,4.671579071969697,3.657344933712121,5.256086253156566
46,00:00:01.535,6.608960700757575,7.382851957070707,5.0297506313131315,7.414279513888889
47,00:00:01.568,4.497103193392256,4.475220959595959,3.7349471275252526,5.281141493055555
48,00:00:01.602,13.111837778829967,18.31652462121212,7.659002130681818,13.35998658459596
49,00:00:01.635,4.905164930555555,5.0000098642676765,3.9613419349747474,5.754142992424242
50,00:00:01.668,5.7743219960016825,6.005237926136363,4.855626578282828,6.462101483585859
51,00:00:01.702,6.081830676557239,7.10675110479798,4.68850615530303,6.450234769570707
52,00:00:01.735,6.891427293771044,7.441090593434343,5.462722932449495,7.770468355429293
53,00:00:01.768,5.958024252946128,6.160205571338384,4.834743923611111,6.879123263888889
54,00:00:01.802,4.844374736952862,4.8833353061868685,3.9779730902777777,5.6718158143939394
55,00:00:01.835,5.9471209490740735,6.012438841540404,4.8754537563131315,6.953470249368687
56,00:00:01.869,7.448840619739058,8.32742463699495,5.599826388888889,8.419270833333334
57,00:00:01.902,5.7702940867003365,6.402501578282828,4.48510495580808,6.423275726010101
58,00:00:01.935,7.137461858164983,8.072551688762626,5.48074494949495,7.859088936237374
59,00:00:01.969,8.379701967592593,9.723386205808081,6.274729719065657,9.14098997790404
60,00:00:02.002,14.630764020412457,20.295415088383837,8.909130366161616,14.687746606691919
61,00:00:02.035,7.037533538510101,7.321871054292929,5.877515388257576,7.913214172979798
62,00:00:02.069,7.494429976851851,8.185250946969697,6.109700520833333,8.188338462752526
63,00:00:02.102,7.742019807449496,8.075570154671718,6.328105271464646,8.822383996212121
64,00:00:02.135,8.402445680765995,9.034130366161616,6.658282039141414,9.51492463699495
65,00:00:02.169,8.735601457281144,9.875877919823232,6.747701625631313,9.58322482638889
66,00:00:02.202,7.278040824915824,8.04422151199495,5.916617345328283,7.873283617424242
67,00:00:02.236,7.807613899410774,8.645626183712121,6.354403409090909,8.422812105429292
